id,artist,project,title,start_date,end_date,year,country,city,venue,series_or_tour,is_festival,status,canceled_reason,setlist,media_links,sources,notes,event_type,type_tags,co_artists,organizer,created_at,updated_at
2004-05-29-01,김윤아,kimyouna,공작부인의 비밀화원,2004-05-29,2004-05-29,2004,KR,서울,올림픽공원 내 올림픽홀,,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2006-03-10-01,김윤아,kimyouna,공작부인의 비밀화원,2006-03-10,2006-03-10,2006,KR,서울,세종문화회관,,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2010-07-09-01,김윤아,kimyouna,공작부인의 비밀화원,2010-07-09,2010-07-11,2010,KR,서울,마포아트센터 아트홀맥,,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2016-12-09-01,김윤아,kimyouna,타인의 고통,2016-12-09,2016-12-11,2016,KR,서울,신한카드 FAN스퀘어 라이브홀,,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2017-02-18-01,김윤아,kimyouna,타인의 고통 앵콜,2017-02-18,2017-02-18,2017,KR,부산,소향씨어터 신한카드홀,,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2017-03-04-01,김윤아,kimyouna,타인의 고통 앵콜,2017-03-04,2017-03-05,2017,KR,서울,블루스퀘어 삼성카드홀,,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2019-05-11-01,김윤아,kimyouna,노래가 슬픔은 인생을 아름답게 하네,2019-05-11,2019-06-02,2019,KR,서울,이화여자대학교 삼성홀,,false,held,,"5/11-12, 18-19, 24, 26, 6/1-2",,,,,solo,,,,2025-08-09,2025-08-09
2019-11-29-01,김윤아,kimyouna,사랑의 형태,2019-11-29,2019-12-01,2019,KR,서울,이화여자대학교 삼성홀,,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2019-12-07-01,김윤아,kimyouna,사랑의 형태,2019-12-07,2019-12-07,2019,KR,부산,드림씨어터,,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2023-04-21-01,김윤아,kimyouna,행복한 사랑은 없네,2023-04-21,2023-04-30,2023,KR,서울,LG아트센터,,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2023-06-23-01,김윤아,kimyouna,행복한 사랑은 없네,2023-06-23,2023-06-25,2023,KR,대구,수성아트피아,,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2023-06-30-01,김윤아,kimyouna,행복한 사랑은 없네,2023-06-30,2023-07-02,2023,KR,부산,소향씨어터,,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2024-04-25-01,김윤아,kimyouna,官能小說 (관능소설),2024-04-25,2024-04-28,2024,KR,서울,LG아트센터,,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2024-08-02-01,김윤아,kimyouna,Summer Kisses, Winter Tears,2024-08-02,2024-08-04,2024,KR,서울,블루스퀘어 마스터카드홀,,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2025-04-11-01,김윤아,kimyouna,April is the Cruelest Month 4월은 가장 잔인한 달,2025-04-11,2025-04-13,2025,KR,서울,블루스퀘어 마스터카드홀,,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
